Rk,Player,Pos,Age,Tm?,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
50,Gerald Green\greenge01,SG,32,HOU,17,0,272,37,94,.394,27,72,.375,10,22,.455,.537,6,7,.857,6,44,50,1,4,7,10,27,107
51,Eric Gordon\gordoer01,SG,29,HOU,17,2,549,84,221,.380,43,130,.331,41,91,.451,.477,51,61,.836,9,36,45,28,10,8,24,29,262
52,Clint Capela\capelca01,C,23,HOU,17,17,520,95,144,.660,0,0,,95,144,.660,.660,26,55,.473,61,136,197,22,14,36,15,38,216
53,Tarik Black\blackta01,C,26,HOU,7,0,19,1,4,.250,0,0,,1,4,.250,.250,0,0,,2,4,6,2,0,1,1,5,2
54,Trevor Ariza\arizatr01,SF,32,HOU,17,17,582,50,139,.360,26,91,.286,24,48,.500,.453,23,31,.742,9,56,65,22,19,2,10,44,149
55,Ryan Anderson\anderry01,PF,29,HOU,11,0,95,7,20,.350,5,15,.333,2,5,.400,.475,0,0,,4,9,13,6,3,1,3,10,19
56,Thaddeus Young\youngth01,PF,29,IND,7,7,237,36,60,.600,2,7,.286,34,53,.642,.617,5,13,.385,22,32,54,10,12,6,7,22,79
57,Joe Young\youngjo01,PG,25,IND,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
58,Myles Turner\turnemy01,C,21,IND,7,7,196,33,54,.611,6,13,.462,27,41,.659,.667,15,19,.789,6,30,36,4,2,4,11,25,87
59,Lance Stephenson\stephla01,SG,27,IND,7,0,149,30,65,.462,8,26,.308,22,39,.564,.523,5,9,.556,3,16,19,20,2,1,9,20,73
60,Domantas Sabonis\sabondo01,C,21,IND,7,0,166,36,62,.581,1,7,.143,35,55,.636,.589,14,18,.778,14,18,32,5,1,2,7,22,87
61,Glenn Robinson\robingl02,SF,24,IND,2,0,6,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,0,0,0,0,0,2
62,Victor Oladipo\oladivi01,SG,25,IND,7,7,261,53,127,.417,23,57,.404,30,70,.429,.508,30,41,.732,3,55,58,42,17,3,24,11,159
63,T.J. Leaf\leaftj01,PF,20,IND,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
64,Cory Joseph\josepco01,PG,26,IND,7,0,143,12,33,.364,3,11,.273,9,22,.409,.409,6,6,1.000,2,15,17,21,9,2,4,10,33
65,Darren Collison\collida01,PG,30,IND,7,7,214,31,68,.456,8,23,.348,23,45,.511,.515,9,12,.750,1,20,21,33,7,0,9,7,79
66,Trevor Booker\booketr01,PF,30,IND,7,0,64,6,10,.600,0,1,.000,6,9,.667,.600,6,7,.857,5,13,18,0,1,1,1,12,18
67,Bojan Bogdanovic\bogdabo02,SF,28,IND,7,7,238,32,81,.395,17,45,.378,15,36,.417,.500,6,10,.600,1,23,24,13,6,0,13,23,87
68,Justise Winslow\winslju01,PF,21,MIA,5,0,125,15,42,.357,7,19,.368,8,23,.348,.440,12,17,.706,7,26,33,13,4,4,8,17,49
69,Hassan Whiteside\whiteha01,C,28,MIA,5,5,77,9,20,.450,0,0,,9,20,.450,.450,8,13,.615,10,20,30,1,0,6,12,16,26
70,Dwyane Wade\wadedw01,SG,36,MIA,5,0,127,31,70,.443,0,4,.000,31,66,.470,.443,21,26,.808,3,18,21,18,7,1,11,11,83
71,Josh Richardson\richajo01,SF,24,MIA,5,5,130,15,40,.375,6,19,.316,9,21,.429,.450,6,7,.857,4,11,15,14,11,5,5,17,42
72,Kelly Olynyk\olynyke01,PF,26,MIA,5,0,146,21,44,.477,8,19,.421,13,25,.520,.568,14,20,.700,7,16,23,19,7,6,8,19,64
73,Rodney McGruder\mcgruro01,SG,26,MIA,4,0,16,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,0,4,4,0,0,0,0,3,2
74,Tyler Johnson\johnsty01,PG,25,MIA,5,5,81,14,26,.538,6,10,.600,8,16,.500,.654,6,7,.857,1,7,8,4,2,0,2,14,40
75,James Johnson\johnsja01,PF,30,MIA,5,5,161,23,42,.548,7,13,.538,16,29,.552,.631,9,14,.643,3,27,30,24,6,6,10,17,62
76,Wayne Ellington\ellinwa01,SG,30,MIA,5,0,101,12,35,.343,12,30,.400,0,5,.000,.514,3,3,1.000,1,7,8,3,2,2,3,9,39
