Rk,Player,Pos,Age,Tm?,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
153,Eric Gordon\gordoer01,SG,28,HOU,75,15,31,5.5,13.5,0.406,3.3,8.8,0.372,2.2,4.7,0.468,0.527,2,2.3,0.84,0.4,2.3,2.7,2.5,0.6,0.5,1.6,2,16.2
154,Sam Dekker\dekkesa01,PF,22,HOU,77,2,18.4,2.6,5.6,0.473,0.8,2.4,0.321,1.9,3.1,0.591,0.543,0.5,0.9,0.559,1.2,2.5,3.7,1,0.5,0.3,0.5,1.1,6.5
155,Clint Capela\capelca01,C,22,HOU,65,59,23.9,5.6,8.7,0.643,0,0,,5.6,8.7,0.643,0.643,1.4,2.7,0.531,2.7,5.4,8.1,1,0.5,1.2,1.3,2.8,12.6
156,Bobby Brown\brownbo02,PG,32,HOU,25,0,4.9,0.9,2.4,0.383,0.6,1.4,0.4,0.4,1,0.36,0.5,0.1,0.1,1,0,0.2,0.2,0.6,0,0,0.2,0.2,2.5
157,Patrick Beverley\beverpa01,SG,28,HOU,67,67,30.7,3.4,8.1,0.42,1.6,4.3,0.382,1.8,3.8,0.463,0.521,1.1,1.4,0.768,1.4,4.4,5.9,4.2,1.5,0.4,1.5,3.3,9.5
158,Trevor Ariza\arizatr01,SF,31,HOU,80,80,34.7,4.1,10,0.409,2.4,6.9,0.344,1.7,3,0.556,0.528,1.2,1.6,0.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7
159,Ryan Anderson\anderry01,PF,28,HOU,72,72,29.4,4.5,10.7,0.418,2.8,7,0.403,1.7,3.7,0.446,0.55,1.8,2.1,0.86,1.6,3,4.6,0.9,0.4,0.2,0.8,2,13.6
160,Thaddeus Young\youngth01,PF,28,IND,74,74,30.2,4.9,9.3,0.527,0.6,1.6,0.381,4.3,7.7,0.557,0.56,0.6,1.2,0.523,1.8,4.3,6.1,1.6,1.5,0.4,1.3,1.8,11
161,Joe Young\youngjo01,PG,24,IND,33,0,4.1,0.8,2.2,0.361,0.2,0.7,0.217,0.6,1.5,0.429,0.396,0.3,0.5,0.733,0,0.5,0.5,0.5,0.1,0,0.2,0.2,2.1
162,Myles Turner\turnemy01,C,20,IND,81,81,31.4,5.5,10.7,0.511,0.5,1.4,0.348,5,9.3,0.536,0.534,3,3.7,0.809,1.7,5.6,7.3,1.3,0.9,2.1,1.3,3.2,14.5
163,Jeff Teague\teaguje01,PG,28,IND,82,82,32.4,4.9,11.1,0.442,1.1,3.1,0.357,3.8,8,0.475,0.492,4.4,5.1,0.867,0.4,3.6,4,7.8,1.2,0.4,2.6,2,15.3
164,Rodney Stuckey\stuckro01,PG,30,IND,39,0,17.8,2.3,6.3,0.373,0.5,1.5,0.317,1.8,4.7,0.391,0.412,2.1,2.7,0.748,0.2,2,2.2,2.2,0.4,0,1.4,1.1,7.2
165,Kevin Seraphin\serapke01,PF,27,IND,49,3,11.4,2.2,4,0.551,0,0,0,2.2,4,0.556,0.551,0.3,0.4,0.636,0.8,2.1,2.9,0.5,0.1,0.4,0.6,1.3,4.7
166,Glenn Robinson\robingl02,SF,23,IND,69,27,20.7,2.3,4.9,0.467,0.7,1.8,0.392,1.6,3.1,0.512,0.54,0.8,1.1,0.711,0.8,2.7,3.6,0.7,0.6,0.3,0.5,0.9,6.1
167,Georges Niang\niangge01,PF,23,IND,23,0,4,0.4,1.6,0.25,0,0.5,0.083,0.3,1,0.333,0.264,0.1,0.1,1,0.1,0.7,0.7,0.2,0.1,0,0.2,0.3,0.9
168,C.J. Miles\milescj01,SF,29,IND,76,29,23.4,3.7,8.5,0.434,2.2,5.4,0.413,1.5,3.1,0.471,0.565,1.1,1.2,0.903,0.4,2.6,3,0.6,0.6,0.3,0.5,2,10.7
169,Al Jefferson\jeffeal01,C,32,IND,66,1,14.1,3.6,7.1,0.499,0,0,0,3.6,7.1,0.5,0.499,1,1.3,0.765,1.1,3.1,4.2,0.9,0.3,0.2,0.5,1.9,8.1
170,Paul George\georgpa01,SF,26,IND,75,75,35.9,8.3,18,0.461,2.6,6.6,0.393,5.7,11.4,0.501,0.534,4.5,5,0.898,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,23.7
171,Monta Ellis\ellismo01,SG,31,IND,74,33,27,3.3,7.5,0.443,0.6,1.8,0.319,2.8,5.7,0.483,0.482,1.3,1.7,0.727,0.3,2.5,2.8,3.2,1.1,0.4,1.8,2,8.5
172,Rakeem Christmas\chrisra01,PF,25,IND,29,0,7.6,0.7,1.5,0.442,0,0,,0.7,1.5,0.442,0.442,0.7,1,0.724,0.9,1,1.9,0.1,0.1,0.2,0.3,1.3,2
173,Aaron Brooks\brookaa01,PG,32,IND,65,0,13.8,1.9,4.6,0.403,0.7,2,0.375,1.1,2.6,0.424,0.483,0.5,0.6,0.8,0.3,0.8,1.1,1.9,0.4,0.1,1,1.4,5
174,Lavoy Allen\allenla01,PF,27,IND,61,5,14.3,1.3,2.8,0.458,0,0,0,1.3,2.7,0.461,0.458,0.4,0.5,0.697,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2.9
175,Diamond Stone\stonedi01,C,19,LAC,7,0,3.4,0.4,1.9,0.231,0,0,,0.4,1.9,0.231,0.231,0.6,0.6,1,0.1,0.7,0.9,0,0,0.1,0.3,0.7,1.4
176,Marreese Speights\speigma01,C,29,LAC,82,2,15.7,3,6.7,0.445,1.3,3.4,0.372,1.7,3.3,0.52,0.539,1.5,1.7,0.876,1.1,3.5,4.5,0.8,0.3,0.5,0.8,2.8,8.7
177,Austin Rivers\riverau01,SG,24,LAC,74,29,27.8,4.4,9.9,0.442,1.5,4,0.371,2.9,5.8,0.491,0.518,1.8,2.6,0.691,0.3,1.9,2.2,2.8,0.6,0.1,1.6,2.5,12
178,J.J. Redick\redicjj01,SG,32,LAC,78,78,28.2,5.1,11.4,0.445,2.6,6,0.429,2.5,5.4,0.462,0.558,2.3,2.6,0.891,0.1,2.1,2.2,1.4,0.7,0.2,1.3,1.6,15
179,Paul Pierce\piercpa01,SF,39,LAC,25,7,11.1,1.1,2.8,0.4,0.6,1.7,0.349,0.5,1.1,0.481,0.507,0.4,0.5,0.769,0,1.9,1.9,0.4,0.2,0.2,0.6,1.6,3.2
